device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (9.5 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p4_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.00015, epoch counter from 0)
resumed from weights/driftsense_p4_last.pt (epoch 0, best 0.442px)
  e0 [50/1250] loss 0.400 focal 0.298 off 0.1025 | batch median err 1.8px | 47.3 img/s | lr 6.02e-06
  e8 [650/1250] loss 0.400 focal 0.292 off 0.1078 | batch median err 1.7px | 75.8 img/s | lr 1.48e-04
  e8 [700/1250] loss 0.399 focal 0.291 off 0.1079 | batch median err 1.0px | 75.9 img/s | lr 1.48e-04
  e8 [750/1250] loss 0.397 focal 0.289 off 0.1077 | batch median err 1.3px | 75.9 img/s | lr 1.48e-04
  e8 [800/1250] loss 0.398 focal 0.290 off 0.1082 | batch median err 1.4px | 75.9 img/s | lr 1.48e-04
  e8 [850/1250] loss 0.400 focal 0.291 off 0.1081 | batch median err 1.5px | 75.9 img/s | lr 1.48e-04
  e8 [900/1250] loss 0.397 focal 0.289 off 0.1080 | batch median err 1.1px | 75.9 img/s | lr 1.48e-04
  e8 [950/1250] loss 0.399 focal 0.291 off 0.1077 | batch median err 1.2px | 76.0 img/s | lr 1.48e-04
  e8 [1000/1250] loss 0.403 focal 0.295 off 0.1080 | batch median err 2.2px | 76.0 img/s | lr 1.48e-04
  e8 [1050/1250] loss 0.403 focal 0.295 off 0.1079 | batch median err 1.5px | 76.0 img/s | lr 1.47e-04
  e8 [1100/1250] loss 0.402 focal 0.294 off 0.1080 | batch median err 0.9px | 76.0 img/s | lr 1.47e-04
  e8 [1150/1250] loss 0.402 focal 0.294 off 0.1080 | batch median err 1.9px | 76.0 img/s | lr 1.47e-04
  e8 [1200/1250] loss 0.402 focal 0.294 off 0.1080 | batch median err 1.2px | 76.0 img/s | lr 1.47e-04
  e8 [1250/1250] loss 0.402 focal 0.294 off 0.1076 | batch median err 1.5px | 76.0 img/s | lr 1.47e-04
epoch 8: loss 0.4017 | val median 0.41px  acc@1 0.667  acc@2 0.917  acc@5 0.917  acc@10 0.917 | 4.5 min
  e9 [50/1250] loss 0.388 focal 0.285 off 0.1037 | batch median err 0.9px | 72.0 img/s | lr 1.47e-04
  e9 [100/1250] loss 0.407 focal 0.300 off 0.1075 | batch median err 1.4px | 74.1 img/s | lr 1.47e-04
  e9 [150/1250] loss 0.388 focal 0.282 off 0.1054 | batch median err 1.6px | 74.8 img/s | lr 1.47e-04
  e9 [200/1250] loss 0.396 focal 0.287 off 0.1088 | batch median err 1.3px | 75.1 img/s | lr 1.47e-04
  e9 [250/1250] loss 0.391 focal 0.284 off 0.1072 | batch median err 2.1px | 75.3 img/s | lr 1.47e-04
  e9 [300/1250] loss 0.394 focal 0.286 off 0.1073 | batch median err 1.7px | 75.5 img/s | lr 1.47e-04
  e9 [350/1250] loss 0.397 focal 0.291 off 0.1067 | batch median err 1.6px | 75.6 img/s | lr 1.47e-04
  e9 [400/1250] loss 0.393 focal 0.287 off 0.1064 | batch median err 1.3px | 75.6 img/s | lr 1.46e-04
  e9 [450/1250] loss 0.395 focal 0.288 off 0.1070 | batch median err 1.4px | 75.7 img/s | lr 1.46e-04
  e9 [500/1250] loss 0.398 focal 0.291 off 0.1069 | batch median err 1.7px | 75.7 img/s | lr 1.46e-04
  e9 [550/1250] loss 0.401 focal 0.293 off 0.1073 | batch median err 16.2px | 75.8 img/s | lr 1.46e-04
  e9 [600/1250] loss 0.401 focal 0.293 off 0.1074 | batch median err 2.0px | 75.8 img/s | lr 1.46e-04
  e9 [650/1250] loss 0.399 focal 0.292 off 0.1076 | batch median err 1.5px | 75.8 img/s | lr 1.46e-04
  e9 [700/1250] loss 0.398 focal 0.290 off 0.1083 | batch median err 1.1px | 75.9 img/s | lr 1.46e-04
  e9 [750/1250] loss 0.396 focal 0.288 off 0.1080 | batch median err 30.5px | 75.9 img/s | lr 1.46e-04
  e9 [800/1250] loss 0.397 focal 0.289 off 0.1080 | batch median err 1.9px | 75.9 img/s | lr 1.46e-04
  e9 [850/1250] loss 0.397 focal 0.289 off 0.1079 | batch median err 1.2px | 75.9 img/s | lr 1.46e-04
  e9 [900/1250] loss 0.396 focal 0.289 off 0.1076 | batch median err 1.0px | 75.9 img/s | lr 1.46e-04
  e9 [950/1250] loss 0.395 focal 0.288 off 0.1072 | batch median err 3.1px | 75.9 img/s | lr 1.46e-04
  e9 [1000/1250] loss 0.396 focal 0.289 off 0.1072 | batch median err 1.8px | 76.0 img/s | lr 1.45e-04
  e9 [1050/1250] loss 0.395 focal 0.287 off 0.1072 | batch median err 1.4px | 76.0 img/s | lr 1.45e-04
  e9 [1100/1250] loss 0.396 focal 0.289 off 0.1070 | batch median err 1.7px | 76.0 img/s | lr 1.45e-04
  e9 [1150/1250] loss 0.396 focal 0.289 off 0.1069 | batch median err 1.4px | 76.0 img/s | lr 1.45e-04
  e9 [1200/1250] loss 0.394 focal 0.287 off 0.1066 | batch median err 2.1px | 76.0 img/s | lr 1.45e-04
  e9 [1250/1250] loss 0.393 focal 0.287 off 0.1063 | batch median err 1.4px | 76.0 img/s | lr 1.45e-04
epoch 9: loss 0.3933 | val median 0.41px  acc@1 0.667  acc@2 0.917  acc@5 0.917  acc@10 0.917 | 4.5 min
  e10 [50/1250] loss 0.359 focal 0.255 off 0.1042 | batch median err 1.2px | 72.0 img/s | lr 1.45e-04
  e10 [100/1250] loss 0.374 focal 0.265 off 0.1087 | batch median err 1.6px | 74.1 img/s | lr 1.45e-04
  e10 [150/1250] loss 0.400 focal 0.289 off 0.1104 | batch median err 1.0px | 74.8 img/s | lr 1.45e-04
  e10 [200/1250] loss 0.394 focal 0.286 off 0.1086 | batch median err 1.3px | 75.1 img/s | lr 1.45e-04
  e10 [250/1250] loss 0.389 focal 0.281 off 0.1079 | batch median err 1.0px | 75.3 img/s | lr 1.44e-04
  e10 [300/1250] loss 0.386 focal 0.280 off 0.1065 | batch median err 1.1px | 75.5 img/s | lr 1.44e-04
  e10 [350/1250] loss 0.387 focal 0.280 off 0.1065 | batch median err 2.4px | 75.6 img/s | lr 1.44e-04
  e10 [400/1250] loss 0.387 focal 0.281 off 0.1067 | batch median err 2.0px | 75.7 img/s | lr 1.44e-04
  e10 [450/1250] loss 0.389 focal 0.282 off 0.1067 | batch median err 1.6px | 75.7 img/s | lr 1.44e-04
  e10 [500/1250] loss 0.393 focal 0.287 off 0.1062 | batch median err 1.7px | 75.8 img/s | lr 1.44e-04
  e10 [550/1250] loss 0.392 focal 0.284 off 0.1075 | batch median err 1.7px | 75.8 img/s | lr 1.44e-04
  e10 [600/1250] loss 0.392 focal 0.284 off 0.1076 | batch median err 1.0px | 75.8 img/s | lr 1.44e-04
  e10 [650/1250] loss 0.394 focal 0.286 off 0.1081 | batch median err 1.5px | 75.9 img/s | lr 1.44e-04
  e10 [700/1250] loss 0.394 focal 0.286 off 0.1079 | batch median err 1.8px | 75.9 img/s | lr 1.43e-04
  e10 [750/1250] loss 0.394 focal 0.286 off 0.1078 | batch median err 1.2px | 75.9 img/s | lr 1.43e-04
  e10 [800/1250] loss 0.392 focal 0.285 off 0.1074 | batch median err 1.3px | 75.9 img/s | lr 1.43e-04
  e10 [850/1250] loss 0.392 focal 0.284 off 0.1075 | batch median err 0.9px | 75.9 img/s | lr 1.43e-04
  e10 [900/1250] loss 0.390 focal 0.283 off 0.1075 | batch median err 1.1px | 75.9 img/s | lr 1.43e-04
  e10 [950/1250] loss 0.389 focal 0.282 off 0.1071 | batch median err 1.8px | 76.0 img/s | lr 1.43e-04
  e10 [1000/1250] loss 0.390 focal 0.283 off 0.1068 | batch median err 1.6px | 76.0 img/s | lr 1.43e-04
  e10 [1050/1250] loss 0.391 focal 0.284 off 0.1066 | batch median err 1.8px | 76.0 img/s | lr 1.43e-04
  e10 [1100/1250] loss 0.391 focal 0.283 off 0.1074 | batch median err 1.4px | 76.0 img/s | lr 1.43e-04
  e10 [1150/1250] loss 0.391 focal 0.284 off 0.1073 | batch median err 1.0px | 76.0 img/s | lr 1.42e-04
  e10 [1200/1250] loss 0.392 focal 0.284 off 0.1076 | batch median err 1.0px | 76.0 img/s | lr 1.42e-04
  e10 [1250/1250] loss 0.392 focal 0.285 off 0.1074 | batch median err 1.2px | 76.0 img/s | lr 1.42e-04
epoch 10: loss 0.3919 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e11 [50/1250] loss 0.361 focal 0.260 off 0.1005 | batch median err 1.3px | 71.9 img/s | lr 1.42e-04
  e11 [100/1250] loss 0.374 focal 0.263 off 0.1115 | batch median err 2.1px | 74.0 img/s | lr 1.42e-04
  e11 [150/1250] loss 0.382 focal 0.271 off 0.1101 | batch median err 1.2px | 74.7 img/s | lr 1.42e-04
  e11 [200/1250] loss 0.383 focal 0.272 off 0.1110 | batch median err 1.3px | 75.1 img/s | lr 1.42e-04
  e11 [250/1250] loss 0.382 focal 0.272 off 0.1105 | batch median err 1.2px | 75.3 img/s | lr 1.42e-04
  e11 [300/1250] loss 0.386 focal 0.276 off 0.1104 | batch median err 2.0px | 75.5 img/s | lr 1.41e-04
  e11 [350/1250] loss 0.386 focal 0.276 off 0.1093 | batch median err 1.8px | 75.6 img/s | lr 1.41e-04
  e11 [400/1250] loss 0.388 focal 0.279 off 0.1099 | batch median err 1.4px | 75.6 img/s | lr 1.41e-04
  e11 [450/1250] loss 0.391 focal 0.281 off 0.1103 | batch median err 1.5px | 75.7 img/s | lr 1.41e-04
  e11 [500/1250] loss 0.390 focal 0.280 off 0.1092 | batch median err 1.1px | 75.7 img/s | lr 1.41e-04
  e11 [550/1250] loss 0.391 focal 0.282 off 0.1095 | batch median err 1.3px | 75.8 img/s | lr 1.41e-04
  e11 [600/1250] loss 0.392 focal 0.283 off 0.1095 | batch median err 1.0px | 75.8 img/s | lr 1.41e-04
  e11 [650/1250] loss 0.393 focal 0.283 off 0.1095 | batch median err 1.3px | 75.9 img/s | lr 1.40e-04
  e11 [700/1250] loss 0.393 focal 0.284 off 0.1092 | batch median err 0.8px | 75.9 img/s | lr 1.40e-04
  e11 [750/1250] loss 0.392 focal 0.284 off 0.1087 | batch median err 2.2px | 75.9 img/s | lr 1.40e-04
  e11 [800/1250] loss 0.390 focal 0.281 off 0.1085 | batch median err 1.7px | 75.9 img/s | lr 1.40e-04
  e11 [850/1250] loss 0.392 focal 0.284 off 0.1082 | batch median err 1.5px | 75.9 img/s | lr 1.40e-04
  e11 [900/1250] loss 0.392 focal 0.284 off 0.1080 | batch median err 1.5px | 75.9 img/s | lr 1.40e-04
  e11 [950/1250] loss 0.393 focal 0.285 off 0.1081 | batch median err 1.3px | 76.0 img/s | lr 1.40e-04
  e11 [1000/1250] loss 0.395 focal 0.287 off 0.1080 | batch median err 1.1px | 76.0 img/s | lr 1.39e-04
  e11 [1050/1250] loss 0.396 focal 0.288 off 0.1079 | batch median err 1.6px | 76.0 img/s | lr 1.39e-04
  e11 [1100/1250] loss 0.398 focal 0.290 off 0.1083 | batch median err 1.4px | 76.0 img/s | lr 1.39e-04
  e11 [1150/1250] loss 0.398 focal 0.289 off 0.1082 | batch median err 1.2px | 76.0 img/s | lr 1.39e-04
  e11 [1200/1250] loss 0.398 focal 0.289 off 0.1084 | batch median err 1.3px | 76.0 img/s | lr 1.39e-04
  e11 [1250/1250] loss 0.398 focal 0.289 off 0.1083 | batch median err 1.2px | 76.0 img/s | lr 1.39e-04
epoch 11: loss 0.3975 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e12 [50/1250] loss 0.417 focal 0.297 off 0.1202 | batch median err 1.8px | 71.4 img/s | lr 1.39e-04
  e12 [100/1250] loss 0.390 focal 0.275 off 0.1147 | batch median err 1.1px | 73.7 img/s | lr 1.38e-04
  e12 [150/1250] loss 0.379 focal 0.269 off 0.1100 | batch median err 2.1px | 74.5 img/s | lr 1.38e-04
  e12 [200/1250] loss 0.379 focal 0.269 off 0.1097 | batch median err 1.8px | 75.0 img/s | lr 1.38e-04
  e12 [250/1250] loss 0.382 focal 0.273 off 0.1095 | batch median err 1.6px | 75.2 img/s | lr 1.38e-04
  e12 [300/1250] loss 0.383 focal 0.275 off 0.1076 | batch median err 1.3px | 75.4 img/s | lr 1.38e-04
  e12 [350/1250] loss 0.380 focal 0.273 off 0.1069 | batch median err 0.9px | 75.5 img/s | lr 1.38e-04
  e12 [400/1250] loss 0.378 focal 0.271 off 0.1066 | batch median err 1.6px | 75.6 img/s | lr 1.38e-04
  e12 [450/1250] loss 0.385 focal 0.277 off 0.1076 | batch median err 1.3px | 75.6 img/s | lr 1.37e-04
  e12 [500/1250] loss 0.383 focal 0.277 off 0.1068 | batch median err 1.5px | 75.7 img/s | lr 1.37e-04
  e12 [550/1250] loss 0.385 focal 0.279 off 0.1063 | batch median err 1.6px | 75.7 img/s | lr 1.37e-04
  e12 [600/1250] loss 0.384 focal 0.277 off 0.1064 | batch median err 1.2px | 75.8 img/s | lr 1.37e-04
  e12 [650/1250] loss 0.380 focal 0.274 off 0.1059 | batch median err 1.7px | 75.8 img/s | lr 1.37e-04
  e12 [700/1250] loss 0.378 focal 0.273 off 0.1059 | batch median err 1.5px | 75.8 img/s | lr 1.37e-04
  e12 [750/1250] loss 0.379 focal 0.273 off 0.1057 | batch median err 1.6px | 75.8 img/s | lr 1.36e-04
  e12 [800/1250] loss 0.378 focal 0.272 off 0.1059 | batch median err 1.4px | 75.9 img/s | lr 1.36e-04
  e12 [850/1250] loss 0.377 focal 0.272 off 0.1059 | batch median err 1.1px | 75.9 img/s | lr 1.36e-04
  e12 [900/1250] loss 0.379 focal 0.273 off 0.1058 | batch median err 2.0px | 75.9 img/s | lr 1.36e-04
  e12 [950/1250] loss 0.381 focal 0.275 off 0.1058 | batch median err 1.6px | 75.9 img/s | lr 1.36e-04
  e12 [1000/1250] loss 0.381 focal 0.275 off 0.1058 | batch median err 1.3px | 75.9 img/s | lr 1.36e-04
  e12 [1050/1250] loss 0.382 focal 0.275 off 0.1063 | batch median err 129.4px | 75.9 img/s | lr 1.36e-04
  e12 [1100/1250] loss 0.382 focal 0.275 off 0.1066 | batch median err 1.6px | 75.9 img/s | lr 1.35e-04
  e12 [1150/1250] loss 0.383 focal 0.276 off 0.1063 | batch median err 1.4px | 76.0 img/s | lr 1.35e-04
  e12 [1200/1250] loss 0.383 focal 0.277 off 0.1065 | batch median err 1.6px | 76.0 img/s | lr 1.35e-04
  e12 [1250/1250] loss 0.383 focal 0.277 off 0.1067 | batch median err 1.5px | 76.0 img/s | lr 1.35e-04
epoch 12: loss 0.3834 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e13 [50/1250] loss 0.364 focal 0.259 off 0.1046 | batch median err 3.3px | 71.7 img/s | lr 1.35e-04
  e13 [100/1250] loss 0.376 focal 0.274 off 0.1019 | batch median err 3.6px | 73.9 img/s | lr 1.35e-04
  e13 [150/1250] loss 0.385 focal 0.280 off 0.1050 | batch median err 1.2px | 74.7 img/s | lr 1.34e-04
  e13 [200/1250] loss 0.393 focal 0.285 off 0.1077 | batch median err 0.8px | 75.0 img/s | lr 1.34e-04
  e13 [250/1250] loss 0.394 focal 0.285 off 0.1085 | batch median err 0.9px | 75.3 img/s | lr 1.34e-04
  e13 [300/1250] loss 0.386 focal 0.279 off 0.1077 | batch median err 1.1px | 75.4 img/s | lr 1.34e-04
  e13 [350/1250] loss 0.384 focal 0.277 off 0.1073 | batch median err 1.1px | 75.5 img/s | lr 1.34e-04
  e13 [400/1250] loss 0.386 focal 0.279 off 0.1068 | batch median err 1.0px | 75.6 img/s | lr 1.33e-04
  e13 [450/1250] loss 0.385 focal 0.278 off 0.1071 | batch median err 1.6px | 75.7 img/s | lr 1.33e-04
  e13 [500/1250] loss 0.382 focal 0.276 off 0.1063 | batch median err 1.3px | 75.7 img/s | lr 1.33e-04
  e13 [550/1250] loss 0.387 focal 0.281 off 0.1064 | batch median err 1.3px | 75.8 img/s | lr 1.33e-04
  e13 [600/1250] loss 0.386 focal 0.280 off 0.1063 | batch median err 1.2px | 75.8 img/s | lr 1.33e-04
  e13 [650/1250] loss 0.385 focal 0.279 off 0.1060 | batch median err 1.8px | 75.8 img/s | lr 1.33e-04
  e13 [700/1250] loss 0.387 focal 0.280 off 0.1069 | batch median err 1.4px | 75.9 img/s | lr 1.32e-04
  e13 [750/1250] loss 0.385 focal 0.279 off 0.1064 | batch median err 2.4px | 75.9 img/s | lr 1.32e-04
  e13 [800/1250] loss 0.384 focal 0.278 off 0.1060 | batch median err 1.2px | 75.9 img/s | lr 1.32e-04
  e13 [850/1250] loss 0.382 focal 0.276 off 0.1059 | batch median err 1.4px | 75.9 img/s | lr 1.32e-04
  e13 [900/1250] loss 0.383 focal 0.277 off 0.1056 | batch median err 1.4px | 75.9 img/s | lr 1.32e-04
  e13 [950/1250] loss 0.380 focal 0.275 off 0.1051 | batch median err 3.0px | 75.9 img/s | lr 1.32e-04
  e13 [1000/1250] loss 0.382 focal 0.277 off 0.1053 | batch median err 1.8px | 75.9 img/s | lr 1.31e-04
  e13 [1050/1250] loss 0.383 focal 0.278 off 0.1057 | batch median err 1.9px | 75.9 img/s | lr 1.31e-04
  e13 [1100/1250] loss 0.384 focal 0.278 off 0.1059 | batch median err 1.8px | 75.9 img/s | lr 1.31e-04
  e13 [1150/1250] loss 0.386 focal 0.280 off 0.1059 | batch median err 2.3px | 75.9 img/s | lr 1.31e-04
  e13 [1200/1250] loss 0.385 focal 0.279 off 0.1058 | batch median err 1.1px | 75.9 img/s | lr 1.31e-04
  e13 [1250/1250] loss 0.385 focal 0.280 off 0.1057 | batch median err 2.3px | 76.0 img/s | lr 1.30e-04
epoch 13: loss 0.3853 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e14 [50/1250] loss 0.394 focal 0.286 off 0.1080 | batch median err 1.9px | 72.1 img/s | lr 1.30e-04
  e14 [100/1250] loss 0.384 focal 0.278 off 0.1065 | batch median err 1.8px | 74.2 img/s | lr 1.30e-04
  e14 [150/1250] loss 0.387 focal 0.278 off 0.1089 | batch median err 1.8px | 74.8 img/s | lr 1.30e-04
  e14 [200/1250] loss 0.379 focal 0.271 off 0.1078 | batch median err 1.4px | 75.1 img/s | lr 1.30e-04
  e14 [250/1250] loss 0.391 focal 0.281 off 0.1098 | batch median err 1.5px | 75.2 img/s | lr 1.29e-04
  e14 [300/1250] loss 0.387 focal 0.278 off 0.1090 | batch median err 1.9px | 75.3 img/s | lr 1.29e-04
  e14 [350/1250] loss 0.384 focal 0.276 off 0.1078 | batch median err 1.0px | 75.5 img/s | lr 1.29e-04
  e14 [400/1250] loss 0.384 focal 0.277 off 0.1071 | batch median err 1.3px | 75.5 img/s | lr 1.29e-04
  e14 [450/1250] loss 0.380 focal 0.273 off 0.1069 | batch median err 0.7px | 75.6 img/s | lr 1.29e-04
  e14 [500/1250] loss 0.381 focal 0.275 off 0.1061 | batch median err 1.0px | 75.6 img/s | lr 1.29e-04
  e14 [550/1250] loss 0.382 focal 0.275 off 0.1066 | batch median err 2.1px | 75.7 img/s | lr 1.28e-04
  e14 [600/1250] loss 0.386 focal 0.279 off 0.1065 | batch median err 1.4px | 75.7 img/s | lr 1.28e-04
  e14 [650/1250] loss 0.385 focal 0.278 off 0.1067 | batch median err 2.2px | 75.7 img/s | lr 1.28e-04
  e14 [700/1250] loss 0.383 focal 0.277 off 0.1059 | batch median err 1.3px | 75.6 img/s | lr 1.28e-04
  e14 [750/1250] loss 0.382 focal 0.276 off 0.1059 | batch median err 1.6px | 75.6 img/s | lr 1.28e-04
  e14 [800/1250] loss 0.380 focal 0.274 off 0.1055 | batch median err 1.6px | 75.6 img/s | lr 1.27e-04
  e14 [850/1250] loss 0.383 focal 0.276 off 0.1063 | batch median err 1.0px | 75.5 img/s | lr 1.27e-04
  e14 [900/1250] loss 0.384 focal 0.277 off 0.1068 | batch median err 1.0px | 75.5 img/s | lr 1.27e-04
  e14 [950/1250] loss 0.384 focal 0.277 off 0.1074 | batch median err 1.9px | 75.6 img/s | lr 1.27e-04
  e14 [1000/1250] loss 0.384 focal 0.276 off 0.1074 | batch median err 1.4px | 75.6 img/s | lr 1.27e-04
  e14 [1050/1250] loss 0.383 focal 0.275 off 0.1071 | batch median err 1.4px | 75.6 img/s | lr 1.26e-04
  e14 [1100/1250] loss 0.382 focal 0.276 off 0.1067 | batch median err 1.7px | 75.6 img/s | lr 1.26e-04
  e14 [1150/1250] loss 0.383 focal 0.276 off 0.1067 | batch median err 2.2px | 75.6 img/s | lr 1.26e-04
  e14 [1200/1250] loss 0.381 focal 0.274 off 0.1064 | batch median err 1.1px | 75.6 img/s | lr 1.26e-04
  e14 [1250/1250] loss 0.381 focal 0.274 off 0.1063 | batch median err 1.1px | 75.6 img/s | lr 1.26e-04
epoch 14: loss 0.3806 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e15 [50/1250] loss 0.382 focal 0.274 off 0.1078 | batch median err 1.4px | 71.5 img/s | lr 1.25e-04
  e15 [100/1250] loss 0.382 focal 0.281 off 0.1015 | batch median err 1.6px | 73.7 img/s | lr 1.25e-04
  e15 [150/1250] loss 0.368 focal 0.266 off 0.1016 | batch median err 1.4px | 74.5 img/s | lr 1.25e-04
  e15 [200/1250] loss 0.376 focal 0.272 off 0.1035 | batch median err 1.8px | 74.9 img/s | lr 1.25e-04
  e15 [250/1250] loss 0.378 focal 0.274 off 0.1048 | batch median err 2.4px | 75.1 img/s | lr 1.24e-04
  e15 [300/1250] loss 0.386 focal 0.279 off 0.1064 | batch median err 1.8px | 75.3 img/s | lr 1.24e-04
  e15 [350/1250] loss 0.385 focal 0.278 off 0.1066 | batch median err 1.3px | 75.4 img/s | lr 1.24e-04
  e15 [400/1250] loss 0.384 focal 0.277 off 0.1070 | batch median err 2.2px | 75.5 img/s | lr 1.24e-04
  e15 [450/1250] loss 0.380 focal 0.274 off 0.1066 | batch median err 1.3px | 75.6 img/s | lr 1.24e-04
  e15 [500/1250] loss 0.383 focal 0.277 off 0.1066 | batch median err 2.1px | 75.7 img/s | lr 1.23e-04
  e15 [550/1250] loss 0.383 focal 0.276 off 0.1066 | batch median err 2.1px | 75.7 img/s | lr 1.23e-04
  e15 [600/1250] loss 0.385 focal 0.278 off 0.1062 | batch median err 1.7px | 75.8 img/s | lr 1.23e-04
  e15 [650/1250] loss 0.382 focal 0.277 off 0.1056 | batch median err 1.7px | 75.8 img/s | lr 1.23e-04
  e15 [700/1250] loss 0.384 focal 0.278 off 0.1055 | batch median err 1.9px | 75.8 img/s | lr 1.23e-04
  e15 [750/1250] loss 0.382 focal 0.277 off 0.1056 | batch median err 1.4px | 75.9 img/s | lr 1.22e-04
  e15 [800/1250] loss 0.384 focal 0.278 off 0.1053 | batch median err 1.1px | 75.9 img/s | lr 1.22e-04
  e15 [850/1250] loss 0.386 focal 0.280 off 0.1059 | batch median err 1.5px | 75.9 img/s | lr 1.22e-04
  e15 [900/1250] loss 0.384 focal 0.278 off 0.1057 | batch median err 1.3px | 75.9 img/s | lr 1.22e-04
  e15 [950/1250] loss 0.384 focal 0.278 off 0.1059 | batch median err 1.8px | 75.9 img/s | lr 1.22e-04
  e15 [1000/1250] loss 0.384 focal 0.278 off 0.1057 | batch median err 0.6px | 75.9 img/s | lr 1.21e-04
  e15 [1050/1250] loss 0.383 focal 0.278 off 0.1055 | batch median err 1.3px | 76.0 img/s | lr 1.21e-04
  e15 [1100/1250] loss 0.383 focal 0.278 off 0.1052 | batch median err 1.5px | 76.0 img/s | lr 1.21e-04
  e15 [1150/1250] loss 0.384 focal 0.279 off 0.1058 | batch median err 0.9px | 76.0 img/s | lr 1.21e-04
  e15 [1200/1250] loss 0.383 focal 0.277 off 0.1059 | batch median err 1.6px | 76.0 img/s | lr 1.20e-04
  e15 [1250/1250] loss 0.384 focal 0.278 off 0.1060 | batch median err 1.1px | 76.0 img/s | lr 1.20e-04
epoch 15: loss 0.3839 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e16 [50/1250] loss 0.393 focal 0.285 off 0.1088 | batch median err 1.2px | 72.1 img/s | lr 1.20e-04
  e16 [100/1250] loss 0.391 focal 0.282 off 0.1091 | batch median err 2.1px | 74.2 img/s | lr 1.20e-04
  e16 [150/1250] loss 0.380 focal 0.273 off 0.1070 | batch median err 2.1px | 74.9 img/s | lr 1.20e-04
  e16 [200/1250] loss 0.378 focal 0.272 off 0.1067 | batch median err 1.1px | 75.3 img/s | lr 1.19e-04
  e16 [250/1250] loss 0.375 focal 0.267 off 0.1072 | batch median err 1.5px | 75.5 img/s | lr 1.19e-04
  e16 [300/1250] loss 0.373 focal 0.266 off 0.1070 | batch median err 3.2px | 75.6 img/s | lr 1.19e-04
  e16 [350/1250] loss 0.369 focal 0.264 off 0.1055 | batch median err 1.0px | 75.7 img/s | lr 1.19e-04
  e16 [400/1250] loss 0.373 focal 0.269 off 0.1043 | batch median err 1.3px | 75.8 img/s | lr 1.18e-04
  e16 [450/1250] loss 0.378 focal 0.272 off 0.1060 | batch median err 0.9px | 75.8 img/s | lr 1.18e-04
  e16 [500/1250] loss 0.378 focal 0.272 off 0.1057 | batch median err 1.0px | 75.9 img/s | lr 1.18e-04
  e16 [550/1250] loss 0.375 focal 0.270 off 0.1049 | batch median err 1.1px | 75.9 img/s | lr 1.18e-04
  e16 [600/1250] loss 0.378 focal 0.273 off 0.1049 | batch median err 1.6px | 75.9 img/s | lr 1.17e-04
  e16 [650/1250] loss 0.380 focal 0.275 off 0.1053 | batch median err 2.3px | 76.0 img/s | lr 1.17e-04
  e16 [700/1250] loss 0.379 focal 0.274 off 0.1051 | batch median err 1.2px | 76.0 img/s | lr 1.17e-04
  e16 [750/1250] loss 0.379 focal 0.273 off 0.1054 | batch median err 1.4px | 76.0 img/s | lr 1.17e-04
  e16 [800/1250] loss 0.377 focal 0.272 off 0.1053 | batch median err 1.4px | 76.0 img/s | lr 1.17e-04
  e16 [850/1250] loss 0.380 focal 0.274 off 0.1059 | batch median err 16.5px | 76.0 img/s | lr 1.16e-04
  e16 [900/1250] loss 0.380 focal 0.274 off 0.1059 | batch median err 1.5px | 76.1 img/s | lr 1.16e-04
  e16 [950/1250] loss 0.379 focal 0.273 off 0.1059 | batch median err 1.8px | 76.1 img/s | lr 1.16e-04
  e16 [1000/1250] loss 0.377 focal 0.272 off 0.1055 | batch median err 1.7px | 76.1 img/s | lr 1.16e-04
  e16 [1050/1250] loss 0.378 focal 0.272 off 0.1063 | batch median err 1.9px | 76.1 img/s | lr 1.15e-04
  e16 [1100/1250] loss 0.379 focal 0.273 off 0.1062 | batch median err 1.7px | 76.1 img/s | lr 1.15e-04
  e16 [1150/1250] loss 0.379 focal 0.273 off 0.1064 | batch median err 1.8px | 76.1 img/s | lr 1.15e-04
  e16 [1200/1250] loss 0.380 focal 0.273 off 0.1066 | batch median err 1.0px | 76.1 img/s | lr 1.15e-04
  e16 [1250/1250] loss 0.381 focal 0.274 off 0.1068 | batch median err 1.4px | 76.1 img/s | lr 1.14e-04
epoch 16: loss 0.3808 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e17 [50/1250] loss 0.413 focal 0.301 off 0.1117 | batch median err 1.2px | 72.6 img/s | lr 1.14e-04
